,0,1, 
6647,DSM 52134,['9'],Myxococcus fulvus
6648,DSM 102074,['535'],Pectobacterium carotovorum
6649,DSM 6498,['220'],Sporosarcina psychrophila
6650,DSM 117145,['92'],Pseudomonas aeruginosa
6651,DSM 19233,['585'],Legionella cincinnatiensis
6652,DSM 21073,['514'],Thalassospira sp.
6653,DSM 19512,['1'],Sphingomonas pseudosanguinis
6654,DSM 21576,"['372', 'J377']",Salinicoccus siamensis
6655,DSM 16026,['220'],Comamonas kerstersii
6656,DSM 4299,"['398', 'J180']",Thermoplasma volcanium
6657,DSM 21722,"['535', '545', 'J22', 'J27']",Variovorax boronicumulans
6658,DSM 43818,"['65', '554', 'J61']",Micromonospora nigra
6659,DSM 14739,"['9', '9a']",Chondromyces robustus
6660,DSM 20739,"['136', '693']",Veillonella atypica
6661,DSM 20049,['11'],Limosilactobacillus fermentum
6662,DSM 17257,"['1', '535']",Pseudomonas lutea
6663,DSM 103427,"['104', 'J14']",Faecalimonas umbilicata
6664,DSM 40110,"['65', 'J42']",Streptomyces viridochromogenes
6665,DSM 3070,"['220', '319']",Sporohalobacter lortetii
6666,DSM 40781,"['65', '84']",Streptomyces sp.
6667,DSM 12924,['263'],Tibi grain
6668,DSM 28942,['1579'],Pyrobaculum ferrireducens
6669,DSM 51077,['9'],Corallococcus coralloides
6670,DSM 102706,['98'],Rhizobium sp.
6671,DSM 5737,"['90', '129', '186']",Tremella foliacea
6672,DSM 10733,"['31', '381', '514', '535', '830', '1684', 'J118', 'J181', 'J1052']",Escherichia coli
6673,DSM 5552,['1'],Bacillus subtilis
6674,DSM 1282,"['37', '92', '129', '760', '888', '1495', 'J26', 'J241', 'J280']",Penicillium expansum
6675,DSM 114621,['129'],Aaosphaeria pasadenensis
6676,DSM 6176,['92'],Streptococcus dysgalactiae subsp. equisimilis
6677,DSM 23020,['220'],Paenibacillus sophorae
6678,DSM 5048,['90'],Neohendersonia kickxii
6679,DSM 44365,['645'],Mycobacterium intracellulare
6680,DSM 20239,"['58', 'J13', 'J14', 'J19']",Bifidobacterium bifidum
6681,DSM 43817,"['553', '554', 'J61']",Micromonospora pallida
6682,DSM 481,"['1', '90', '92', '469', 'J28', 'J282']",Bacillus sp.
6683,DSM 28870,"['514', 'J118']",Microbulbifer maritimus
6684,DSM 26816,['830'],Pseudomonas sp.
6685,DSM 17305,"['65', '535', 'J42', 'J52']",Kribbella jejuensis
6686,DSM 28693,"['195c', 'J1034']",Desulfogranum aggregans
6687,DSM 106081,['1'],Novosphingobium sp.
6688,DSM 17592,['104c'],Clostridium sp.
6689,DSM 6351,['31'],Sutcliffiella cohnii
6690,DSM 11826,"['848', '1429', 'J891']",Komagataeibacter oboediens
6691,DSM 20314,"['11', 'J13', 'J84']",Lactiplantibacillus pentosus
6692,DSM 41790,['65'],Streptomyces sanglieri
6693,DSM 19779,"['1', 'J346']",Methylobacterium phyllosphaerae
6694,DSM 44151,"['65', '84', '553', '554', 'J43']",Micromonospora chersina
6695,DSM 26495,['514'],Alteromonas macleodii
6696,DSM 41870,"['65', '84']",Streptomyces ginsengisoli
6697,DSM 41793,"['65', '84', 'J42']",Streptomyces yunnanensis
6698,DSM 15424,"['535', '545']",Thermomonas fusca
6699,DSM 44335,['554'],Micromonospora sp.
6700,DSM 102124,['65'],Kutzneria chonburiensis
6701,DSM 106008,"['1', '465', '535']",Pseudomonas jessenii
6702,DSM 52464,['9'],Myxococcus xanthus
6703,DSM 22841,['429b'],Avibacterium volantium
6704,DSM 18107,['830'],Chitinophaga ginsengisoli
6705,DSM 40112,"['65', '84', 'J42']",Streptomyces filipinensis
6706,DSM 40379,"['65', 'J58']",Streptomyces sp.
6707,DSM 26533,"['1a', '461']",Pseudomonas alcaliphila
6708,DSM 102889,['119'],Methanobacterium alkalithermotolerans
6709,DSM 113479,"['92', '693']",Klebsiella pneumoniae
6710,DSM 30635,['220'],Staphylococcus saprophyticus
6711,DSM 62045,['129'],Fusarium oxysporum
6712,DSM 26439,['514'],Pseudoalteromonas paragorgicola
6713,DSM 6367,['381'],Escherichia coli
6714,DSM 16427,['135'],Acetobacterium carbinolicum
6715,DSM 53408,['9'],Sorangium cellulosum
6716,DSM 19089,['1104'],Desulfurivibrio alkaliphilus
6717,DSM 25160,['830'],Caballeronia grimmiae
6718,DSM 43386,['554'],Saccharothrix mutabilis subsp. mutabilis
6719,DSM 12802,['514'],Zobellia galactanivorans
6720,DSM 40201,"['65', 'J45', 'J50', 'J66']",Streptomyces sp.
6721,DSM 16517,['90'],Trichoderma orientale
6722,DSM 7437,['63'],Desulfotomaculum nigrificans
6723,DSM 17989,['403'],Borrelia californiensis
6724,DSM 45443,['514'],Nocardiopsis sp.
6725,DSM 17934,['830'],Flavobacterium terrigena
6726,DSM 26136,"['1', 'J22']",Comamonas serinivorans
6727,DSM 27927,"['381', '535']",Pseudomonas zeshuii
6728,DSM 24068,"['535', '693']",Pseudomonas aeruginosa
6729,DSM 40923,"['65', '84']",Streptomyces glaucescens
6730,DSM 108163,"['693', '1203a']",Clostridium innocuum
6731,DSM 576,"['1', '3', '441']",Azotobacter vinelandii
6732,DSM 4780,"['92', '215', '535', '693', 'J12']",Yersinia enterocolitica subsp. enterocolitica
6733,DSM 110159,"['104', '1203']",Muricaecibacterium torontonense
6734,DSM 26050,"['1', '220']",Achromobacter xylosoxidans subsp. xylosoxidans
6735,DSM 43482,"['354', '645']",Mycobacterium fortuitum subsp. fortuitum
6736,DSM 12361,"['231', 'J803']",Apilactobacillus kunkeei
6737,DSM 20640,['53'],Kurthia gibsonii
6738,DSM 6040,"['1', '98']",Rhizobium leguminosarum
6739,DSM 25328,['514'],Tritonibacter scottomollicae
6740,DSM 10744,"['11', '92', '215c', '339', '381', '693', '1203a', 'J1130']",Escherichia coli
6741,DSM 23052,"['119', 'J807']",Methanothermobacter tenebrarum
6742,DSM 51731,['9'],Corallococcus coralloides
6743,DSM 70306,['186'],Lipomyces lipofer
6744,DSM 105494,['830'],Novimethylophilus kurashikiensis
6745,DSM 21798,"['92', 'J26']",Microbacterium agarici
6746,DSM 21946,['830'],Massilia haematophila
6747,DSM 112098,['671'],Caldicellulosiruptor diazotrophicus
6748,DSM 5080,['189'],Venturia tremulae var. tremulae
6749,DSM 17874,"['1', '381']",Acinetobacter sp.
6750,DSM 17882,"['760', 'J280']",Thermococcus barossii
6751,DSM 100342,"['58', 'J13']",Bifidobacterium tissieri
6752,DSM 111050,['1543'],Bombella favorum
6753,DSM 40937,"['65', '84', 'J81']",Streptomyces microflavus
6754,DSM 27146,"['92', '693']",Staphylococcus aureus
6755,DSM 15049,"['110', 'J14']",Paeniclostridium ghonii
6756,DSM 22663,['507'],Thermogladius calderae
6757,DSM 26885,['641'],Desulfosporosinus sp.
6758,DSM 137,"['1', '1a', '26', '27', '28', '58', '92', '104', '123', '129', '187', '190', '215', '220', '371', '429', '430', '500', '514', '514f', '520', '544', '693', '718', '732a', '740', '896', '921', '925', '947', '960', '1203a', 'J12', 'J13', 'J14', 'J22', 'J32', 'J118', 'J284']",Rhodoblastus acidophilus
6759,DSM 13742,['925'],Thioalkalivibrio denitrificans
6760,DSM 46306,"['751', 'J220', 'J346']",Leifsonia xyli subsp. cynodontis
6761,DSM 52391,['9'],Myxococcus xanthus
6762,DSM 1384,['76'],Gottschalkia purinilytica
6763,DSM 1122,"['1', '27', '81', '90', '92', '104', '186', '188', '220', '457', '535', '693', '795', '830', '1203', '1203a', '1429', 'J22', 'J244', 'J346']",Azohydromonas lata
6764,DSM 101602,['514'],Nesterenkonia sp.
6765,DSM 102371,['830'],Angustibacter sp.
6766,DSM 103346,['104'],Peptoniphilus sp.
6767,DSM 7442,['63'],Desulfotomaculum sp.
6768,DSM 114906,['514'],Phage (phagum)
6769,DSM 13771,"['215', '220', 'J12', 'J22']",Edwardsiella hoshinae
6770,DSM 26235,"['92', 'J26']",Microbacterium gilvum
6771,DSM 12240,['90'],Hypomyces chrysostomus
6772,DSM 19488,['585'],Legionella dresdenensis
6773,DSM 4831,['90'],Coniophora puteana
6774,DSM 43205,"['65', '535', 'J57']",Rhodococcus opacus
6775,DSM 5244,"['9', '90']",Sistotrema brinkmannii
6776,DSM 11432,['120'],Methanosarcina sp.
6777,DSM 24463,['906'],Dethiosulfovibrio sp.
6778,DSM 51204,['9'],Corallococcus coralloides
6779,DSM 100886,['1426'],Luteitalea pratensis
6780,DSM 29394,['92'],Lactococcus garvieae
6781,DSM 24127,['693'],Campylobacter jejuni
6782,DSM 355,"['1', '90', '129', '191']",Bacillus pumilus
6783,DSM 18756,['1147'],Rhodobaca bogoriensis
6784,DSM 43465,"['645', 'J26', 'J386']",Mycobacterium smegmatis
6785,DSM 30931,['220'],Bacillus cereus
6786,DSM 23627,['1122'],Methylophilus glucosoxydans
6787,DSM 21640,['1'],Oxalicibacterium horti
6788,DSM 29083,['671'],Thermoanaerobacter italicus
6789,DSM 5344,"['9', '381']",Escherichia coli
6790,DSM 14675,"['9', '67', 'J436']",Myxococcus stipitatus
6791,DSM 52701,['9'],Cystobacter gracilis
6792,DSM 111729,"['1', '83', '550']",Planifilum composti
6793,DSM 112839,['92'],Klebsiella pneumoniae
6794,DSM 45066,"['65', 'J43']",Nocardia amamiensis
6795,DSM 6160,"['631', '1429', 'J890', 'J891']",Komagataeibacter europaeus
6796,DSM 3190,['90'],Emericella variecolor
6797,DSM 19628,['514'],Bizionia argentinensis
6798,DSM 12409,"['220', '693']",Enterobacter hormaechei subsp. hormaechei
6799,DSM 485,"['31', '92', '119', '381', '450', '693', '736', 'J27', 'J28', 'J100']",Alkalihalobacillus alcalophilus
6800,DSM 45427,"['65', '554', 'J51']",Asanoa hainanensis
6801,DSM 1104,"['1', '65', '92', '220', '503', '514', '585', '641', '693', '825', '830', '1113', '1203', '1245', '1494', 'J12', 'J22', 'J475']",Staphylococcus aureus
6802,DSM 12163,['220a'],Erwinia pyrifoliae
6803,DSM 103432,['1611'],Faecalibacterium longum
6804,DSM 766,['1'],Bacillus pumilus
6805,DSM 4685,"['65', '104c', '411', '514', '535']",Clostridium sp.
6806,DSM 21008,['830'],Cellulomonas sp.
6807,DSM 4024,"['63', '65', '84', '104b', '252', 'J42', 'J45', 'J54', 'J58', 'J66']",Lacrimispora sphenoides
6808,DSM 109636,['514'],Sulfitobacter indolifex
6809,DSM 20156,['53'],Corynebacterium glutamicum
6810,DSM 20659,"['53', 'J22']",Brevibacterium epidermidis
6811,DSM 22372,['1399'],Halomicrobium sp.
6812,DSM 104754,['381'],Phage (phagum)
6813,DSM 4805,"['92', '693']",Staphylococcus lugdunensis
6814,DSM 45446,"['65', '553', '987']",Actinoallomurus fulvus
6815,DSM 15609,"['92', '693']",Macrococcus equipercicus
6816,DSM 13259,"['607a', 'J377']",Filobacillus milosensis
6817,DSM 149,"['1', '1a', '11b', '27', '92', '104b', '110', '129', '135', '141', '188', '189', '191', '193', '195c', '215', '220', '220a', '311c', '339a', '372', '402', '429', '462', '514', '535', '535a', '693', '760', '935', '950', '960', '975', '976', '977', '1042', '1122', '1191', '1203a', '1526', 'J13', 'J14', 'J22', 'J26', 'J101', 'J168', 'J265', 'J280', 'J282', 'J346', 'J366', 'J469', 'J470', 'J677', 'J741']",Rubrivivax gelatinosus
6818,DSM 2256,"['92', '120', '514', '621', '830']",Methanosarcina sp.
6819,DSM 26574,['220'],Mycetocola sp.
6820,DSM 51861,['9'],Corallococcus exiguus
6821,DSM 7173,['240'],Corynebacterium kutscheri
6822,DSM 19521,"['634b', 'J482']",Clostridium aestuarii
6823,DSM 43827,"['65', '554', 'J42']",Actinosynnema mirum
6824,DSM 114200,['92'],Staphylococcus aureus
6825,DSM 22407,"['215', 'J28', 'J256']",Devriesea agamarum
6826,DSM 112317,['92'],Brevibacterium sp.
6827,DSM 102505,['535'],Pseudomonas sp.
6828,DSM 18486,['220'],Paenibacillus sp.
6829,DSM 24,"['1', '1a', '7', '9', '11', '27', '28', '29', '31', '54', '58', '63', '63c', '65', '67', '78', '81', '90', '92', '98', '104', '104b', '104c', '110', '119', '129', '130', '136', '141c', '173', '188', '189', '190', '191', '194', '195c', '195d', '215', '220', '253', '265', '266', '268', '269', '271', '275', '323', '339', '371', '377a', '381', '402', '403', '412', '428', '429', '457', '457b', '464', '503', '503d', '514', '514b', '514c', '514f', '535', '535b', '545', '578', '585', '600a', '640', '641', '693', '697', '736', '760', '784', '792a', '804', '825', '826', '830', '830c', '838', '853a', '906', '948', '960', '1007', '1011', '1011d', '1015', '1040', '1055', '1076b', '1122', '1133', '1163a', '1166', '1166a', '1167', '1203a', '1210a', '1246', '1266', '1279', '1290', '1293', '1295', '1296', '1298', '1303', '1305', '1307', '1318', '1328', '1329', '1347', '1348', '1349', '1350', '1351', '1352', '1353', '1354', '1355', '1356', '1357', '1360', '1361', '1362', '1363', '1364', '1381', '1382', '1427', '1451', '1464', '1465', '1475', '1476', '1484', '1485', '1523', '1596', '1597', '1616', '1639', '1647', '1670', '1687', '1725', '1829', 'J12', 'J13', 'J14', 'J22', 'J26', 'J28', 'J30', 'J43', 'J74', 'J75', 'J84', 'J92', 'J118', 'J119', 'J159', 'J167', 'J181', 'J198', 'J207', 'J226', 'J280', 'J346', 'J349', 'J377', 'J443', 'J475', 'J488', 'J569', 'J582', 'J583', 'J640', 'J653', 'J674', 'J676', 'J677', 'J702', 'J709', 'J710', 'J720', 'J744', 'J779', 'J786', 'J811', 'J814', 'J835', 'J836', 'J855', 'J865', 'J866', 'J872', 'J874', 'J878', 'J884', 'J889', 'J892', 'J900', 'J902', 'J907', 'J909', 'J933', 'J966', 'J1165', 'J1321']",Paenibacillus macerans
6830,DSM 100728,['1'],Bacillus sp.
6831,DSM 15963,['90'],Arthrobotrys amerospora
6832,DSM 23076,['585'],Legionella steigerwaltii
6833,DSM 9726,['31'],Evansella clarkii
6834,DSM 20109,"['53', 'J28']",Cellulomonas flavigena
6835,DSM 15383,"['217', '693']",Boudabousia marimammalium
6836,DSM 25842,['535'],Pseudomonas sp.
6837,DSM 52004,['9'],Myxococcus fulvus
6838,DSM 26508,['830'],Chromobacterium amazonense
6839,DSM 4206,"['65', '84', '248', '252', '383b', '987', 'J50', 'J66', 'J471']",Desulfonauticus autotrophicus
6840,DSM 53664,['9'],Myxococcales unclassified
6841,DSM 110907,"['215', '693']",Eggerthella lenta
6842,DSM 43362,"['65', '83', '248', 'J58']",Streptomyces purpureus
6843,DSM 52198,['9'],Myxococcus stipitatus
6844,DSM 2376,"['1a', '92', '293', '514', '693', '1490', 'J26', 'J69', 'J118', 'J475', 'J843']",Propionigenium modestum
6845,DSM 14663,['924a'],Methanocalculus taiwanensis
6846,DSM 14748,"['1', '830', '988']",Sphingomonas aurantiaca
6847,DSM 3356,['90'],Panaeolus sphinctrinus
6848,DSM 20133,"['53', 'J22']",Arthrobacter citreus
6849,DSM 29313,"['462', '535', 'J475']",Sphingobium fuliginis
6850,DSM 62887,['90'],Pestalotiopsis versicolor
6851,DSM 45609,['535'],Rhodococcus nanhaiensis
6852,DSM 51599,['9'],Corallococcus coralloides
6853,DSM 19126,"['104', '693', 'J14']",Prevotella nanceiensis
6854,DSM 996,"['1', '90']",Sordaria fimicola
6855,DSM 2263,"['129', '514', '1076b', 'J30', 'J226']",Penicillium verruculosum
6856,DSM 20510,['232'],Ligilactobacillus agilis
6857,DSM 2417,"['90', '514', '693', '1166']",Penicillium italicum
6858,DSM 49019,['65'],Phage (phagum)
6859,DSM 5139,"['9', '189']",Phacidium infestans
6860,DSM 40759,"['65', '84']",Streptomyces griseus subsp. griseus
6861,DSM 30743,['830'],Brevundimonas sp.
6862,DSM 13395,['1587'],Amaricoccus sp.
6863,DSM 44550,"['65', '83']",Nocardiopsis composta
6864,DSM 22616,['693'],Peptoniphilus koenoeneniae
6865,DSM 30012,['1'],Acinetobacter sp.
6866,DSM 45912,"['65', '215', '535']",Actinomadura sp.
6867,DSM 26545,['693'],Streptococcus penaeicida
6868,DSM 45079,"['65', '535', '553', '852', 'J528']",Jiangella alkaliphila
6869,DSM 22214,['830'],Arcicella aurantiaca
6870,DSM 11466,"['514f', '621a']",Roseisalinus antarcticus
6871,DSM 30744,['220'],Staphylococcus kloosii
6872,DSM 13967,"['922', '1423']",Methylocapsa acidiphila
6873,DSM 45404,"['645', 'J386']",Mycobacterium pallens
6874,DSM 52178,['9'],Myxococcus stipitatus
6875,DSM 1831,"['92', '104', '129', '220', '372', '514', '693', '785', '830', '830c', '1040', 'J14', 'J22', 'J26', 'J168', 'J551']",Thermoascus aurantiacus
6876,DSM 41346,['65'],Streptomyces sp.
6877,DSM 30935,['220'],Acinetobacter lwoffii
6878,DSM 21833,['1076b'],Spiroplasma melliferum
6879,DSM 2291,"['74', '81', '104b', '221', '428', '462', '535']",Azospirillum largimobile
6880,DSM 19004,"['92', '693']",Streptococcus caballi
6881,DSM 46346,['220'],Escherichia coli
6882,DSM 1359,"['90', '92', '535', '545', '693', '830', '920', '944', 'J22']",Phycomyces blakesleeanus
6883,DSM 45367,"['65', '1027', 'J42', 'J346']",Pseudonocardia spinosa
6884,DSM 52533,['9'],Myxococcus fulvus
6885,DSM 8275,['807'],Halanaerobium alcaliphilum
6886,DSM 100222,"['92', '693']",Myroides odoratus
6887,DSM 1553,"['1', '65', '129', '190', '217', '220', '429', '535', '693', '830', '1203', 'J43']",Acremonium zonatum
6888,DSM 17197,['830'],Paraburkholderia unamae
6889,DSM 45930,"['514', '1159']",Streptomonospora tuzyakensis
6890,DSM 52449,['9'],Myxococcus xanthus
6891,DSM 70807,['186'],Kluyveromyces lactis
6892,DSM 11264,"['92', '298', '693']",Geobacter sp.
6893,DSM 114058,['514e'],Vallitalea longa
6894,DSM 16224,['514'],Erythrobacter donghaensis
6895,DSM 104478,"['129', '186']",Cryptococcus terricola
6896,DSM 46764,"['65', '535', 'J43']",Nocardia heshunensis
6897,DSM 45229,"['65', '215', '535', 'J43']",Gordonia cholesterolivorans
6898,DSM 41682,"['65', '84', 'J58']",Streptomyces hiroshimensis
6899,DSM 497,['31'],Halalkalibacterium halodurans
6900,DSM 113124,['830'],Flavobacterium sp.
6901,DSM 22451,['1078'],Mycoplasma sp.
6902,DSM 24670,['514'],Photobacterium sanguinicancri
6903,DSM 25104,"['104', '693']",Arcanobacterium canis
6904,DSM 52437,['9'],Myxococcus xanthus
6905,DSM 21789,"['67', '830']",Flavobacterium swingsii
6906,DSM 14689,"['9', '942']",Pyxidicoccus fallax
6907,DSM 489,"['1', '90', '129', '189']",Paenibacillus macquariensis subsp. macquariensis
6908,DSM 100246,['535'],Ottowia beijingensis
6909,DSM 62526,['189'],Cylindrocarpon olidum var. crassum
6910,DSM 110924,"['215', '693']",Gordonibacter pamelaeae
6911,DSM 19602,"['830', 'J346']",Kribbella sancticallisti
6912,DSM 14888,['924b'],Methanocalculus chunghsingensis
6913,DSM 13884,"['92', 'J26']",Kytococcus schroeteri
6914,DSM 53215,['9'],Sorangium cellulosum
6915,DSM 28529,['58'],Bifidobacterium adolescentis
6916,DSM 11478,"['1', '92', '271']",Acidithiobacillus thiooxidans
6917,DSM 46071,"['65', '426']",Nocardia carnea
6918,DSM 21664,"['830', 'J534']",Flavobacterium saliperosum
6919,DSM 17240,['804'],Haemophilus pittmaniae
6920,DSM 102786,['1'],Paenibacillus sp.
6921,DSM 14727,"['9', '942', 'J436']",Archangium violaceum
6922,DSM 20467,['58'],Pectinatus cerevisiiphilus
6923,DSM 21730,['189'],Fusarium oxysporum
6924,DSM 10412,"['1', '11', '854', 'J853']",Hippea maritima
6925,DSM 3071,"['220', '330', 'J1029']",Butyrivibrio fibrisolvens
6926,DSM 20293,['11'],Lapidilactobacillus dextrinicus
6927,DSM 22799,['830'],Cryobacterium sp.
6928,DSM 21013,['830c'],Rhodanobacter ginsenosidimutans
6929,DSM 45985,"['535', '554']",Micromonospora sp.
6930,DSM 111095,['381'],Phage (phagum)
6931,DSM 63533,['190'],Apiosordaria verruculosa
6932,DSM 105956,"['1', '65', '215', '220', '535']",Gordonia sp.
6933,DSM 7040,"['144a', '186', '393']",Caldicellulosiruptor acetigenus
6934,DSM 18608,['545'],Pedobacter sp.
6935,DSM 108848,['9'],Corallococcus terminator
6936,DSM 44304,['535'],Rhodococcus opacus
6937,DSM 13638,"['830', '908']",Azospira oryzae
6938,DSM 1150,"['1', '11b', '92', '104c', '191', '215', '220', '311a', '311c', '419', '464', '514', '514c', '535', '535b', '693', '828', '830', '1012a', '1704']",Cochliobolus homomorphus
6939,DSM 20131,['53'],Rhodococcus fascians
6940,DSM 28860,"['215', '693']",Listeria booriae
6941,DSM 12596,['591'],Orenia sivashensis
6942,DSM 17885,['220'],Anoxybacillus sp.
6943,DSM 115828,['330'],Butyrivibrio sp.
6944,DSM 2684,['191'],Xylogone sphaerospora
6945,DSM 21781,['1076b'],Spiroplasma litorale
6946,DSM 2389,"['269', '535', 'J129']",Acidiphilium cryptum
6947,DSM 27727,"['220', '514']",Bacillus sp.
6948,DSM 40045,"['65', '84', 'J42']",Streptomyces alboflavus
6949,DSM 107292,"['1', '693']",Salmonella enterica subsp. enterica
6950,DSM 51054,['9'],Archangium disciforme
6951,DSM 25662,['830'],Flavobacterium sp.
6952,DSM 19845,['830'],Sphingobium rhizovicinum
6953,DSM 20134,"['53', '65']",Clavibacter michiganensis
6954,DSM 43161,"['65', '83', 'J25', 'J26', 'J30']",Geodermatophilus dictyosporus
6955,DSM 9546,['357'],Hugenholtzia roseola
6956,DSM 110323,['339'],Caniella muris
6957,DSM 104479,"['129', '186']",Meyerozyma guilliermondii
6958,DSM 105119,"['553', 'J51']",Longispora urticae
6959,DSM 70815,['186'],Kodamaea ohmeri
6960,DSM 102634,['830'],Methylobacterium sp.
6961,DSM 42020,['65'],Streptomyces sp.
6962,DSM 18095,['110'],Tissierella praeacuta
6963,DSM 23203,"['92', 'J26']",Microbacterium yannicii
6964,DSM 102188,['232'],Lactobacillus panisapium
6965,DSM 100656,['92'],Staphylococcus saprophyticus
6966,DSM 17070,['514'],Roseovarius mucosus
6967,DSM 13100,['144b'],Caldicellulosiruptor owensensis
6968,DSM 29140,['1'],Pseudomonas weihenstephanensis
6969,DSM 100194,"['11', '381']",Ligilactobacillus murinus
6970,DSM 2427,"['129', '220', '693', '830', '1305', '1329']",Penicillium citreonigrum
6971,DSM 51280,['9'],Corallococcus coralloides
6972,DSM 2625,"['1', '11', '81', '92', '693', 'J13', 'J853']",Cupriavidus necator
6973,DSM 44300,"['65', '248']",Microbispora sp.
6974,DSM 53654,['9'],Myxococcales unclassified
6975,DSM 22354,['220'],Brucella pseudogrignonensis
6976,DSM 5122,"['9', '90']",Drepanopeziza tremulae
6977,DSM 24200,['693'],Campylobacter jejuni
6978,DSM 10685,"['1', '220']",Burkholderia pyrrocinia
6979,DSM 44287,"['215', '693', 'J28']",Corynebacterium pseudodiphtheriticum
6980,DSM 19525,['830'],Adhaeribacter sp.
6981,DSM 43086,['214'],Pseudonocardia autotrophica
6982,DSM 43642,"['354', '645']",Mycobacterium farcinogenes
6983,DSM 17871,['830'],Peribacillus kribbensis
6984,DSM 46731,"['1504', 'J115']",Actinopolyspora lacussalsi
6985,DSM 23766,"['92', 'J69']",Tetragenococcus halophilus subsp. flandriensis
6986,DSM 12036,['514'],Shewanella woodyi
6987,DSM 8573,"['1', '54', '220', '545', '1015']",Stenotrophomonas rhizophila
6988,DSM 104460,['535'],Acinetobacter pittii
6989,DSM 111538,['381'],Phage (phagum)
6990,DSM 105807,"['65', '830']",Nocardioides allogilvus
6991,DSM 20650,"['215', '693', 'J27']",Listeria welshimeri
6992,DSM 106119,"['1', '535']",Pseudomonas fluorescens
6993,DSM 24098,"['1363', 'J709', 'J710']",Komagataeibacter kakiaceti
6994,DSM 23128,['830'],Granulicella arctica
6995,DSM 52387,['9'],Myxococcus xanthus
6996,DSM 20411,"['535', '535a', '693', 'J475']",Corynebacterium glutamicum
6997,DSM 43969,['65'],Rhodococcus rhodochrous
6998,DSM 16478,['514'],Maribacter aquivivus
6999,DSM 15156,['830'],Enterobacter ludwigii
7000,DSM 6256,"['310', '381']",Escherichia coli
7001,DSM 103789,"['11', '339']",Ligilactobacillus salivarius
7002,DSM 6779,['503'],Breznakibacter xylanolyticus
7003,DSM 19841,['514'],Mesonia mobilis
7004,DSM 22154,['514'],Aliidiomarina maris
7005,DSM 29660,['220'],Elizabethkingia anophelis subsp. endophytica
7006,DSM 28106,['513'],Deinococcus wulumuqiensis
7007,DSM 26292,['514'],Alcanivorax sp.
7008,DSM 14889,['220'],Sphingopyxis chilensis
7009,DSM 24294,['693'],Campylobacter jejuni
7010,DSM 105477,"['429', '535', '545']",Psittacicella gerlachiana
7011,DSM 113506,['92'],Staphylococcus aureus
7012,DSM 22317,"['104', 'J28']",Propionicicella superfundia
7013,DSM 50317,"['1', '54']",Pseudomonas sp.
7014,DSM 16515,['90'],Penicillium olsonii
7015,DSM 15497,['514'],Idiomarina loihiensis
7016,DSM 102612,['92'],Frigoribacterium sp.
7017,DSM 102519,['98'],Rhizobium sp.
7018,DSM 109736,['92'],Staphylococcus aureus
7019,DSM 104066,['1'],Bacillus thuringiensis
7020,DSM 41537,"['65', 'J66']",Streptomyces olivaceus
7021,DSM 19911,['11'],Lactobacillus sp.
7022,DSM 28577,['104'],Tepidibaculum saccharolyticum
7023,DSM 18955,"['535', 'J12']",Lelliottia nimipressuralis
7024,DSM 25664,['104b'],Clostridium bornimense
7025,DSM 25755,['785'],Alkalibacterium gilvum
7026,DSM 17520,"['621', '830', 'J346']",Tetrasphaera veronensis
7027,DSM 27191,"['372', 'J168', 'J402']",Haloferax mucosum
7028,DSM 43489,"['354', '645']",Mycobacterium phlei
7029,DSM 30924,['220'],Bacillus subtilis
7030,DSM 9823,['31'],Bacillus sp.
7031,DSM 24761,['1354'],Arenibacter algicola
7032,DSM 45069,['645'],Mycobacterium arosiense
7033,DSM 43106,['214'],Pseudonocardia autotrophica
7034,DSM 17447,['545'],Flavobacterium indicum
7035,DSM 505,"['1', '36', '90', '429', '693', 'J22', 'J89']",Thiobacillus thioparus
7036,DSM 16556,"['1004', 'J435']",Leptolinea tardivitalis
7037,DSM 14782,['940'],Pannonibacter phragmitetus
7038,DSM 40605,"['65', 'J43']",Streptomyces sp.
7039,DSM 44959,"['65', '535', 'J57']",Nocardia jejuensis
7040,DSM 51601,['9'],Corallococcus coralloides
7041,DSM 51286,['9'],Corallococcus coralloides
7042,DSM 21390,"['1040', 'J765']",Halodesulfovibrio oceani subsp. oceani
7043,DSM 30692,['220'],Stenotrophomonas maltophilia
7044,DSM 24423,['514'],Oceanicella actignis
7045,DSM 5134,"['9', '90']",Phomopsis juniperovora
7046,DSM 11701,"['830', '852', 'J77']",Sporolactobacillus kofuensis
7047,DSM 1005,"['1', '65', '78', '84', '90', '92', '104', '104b', '104c', '129', '186', '215', '220', '255', '323', '339', '381', '429', '514', '535', '535a', '553', '554', '634', '830', '987', '1203', '1203a', '1266a', '1560', '1671', 'J14', 'J51', 'J61', 'J832', 'J943', 'J1111', 'J1112', 'J1113']",Armillaria mellea
7048,DSM 21333,['514c'],Vibrio sinaloensis
7049,DSM 52696,['9'],Archangium sp.
7050,DSM 51553,['9'],Corallococcus coralloides
7051,DSM 10762,['381'],Escherichia coli
7052,DSM 25520,['535c'],Eoetvoesia caeni
7053,DSM 53508,['9'],Sorangium cellulosum
7054,DSM 24390,['535'],Pseudomonas caeni
7055,DSM 16775,"['92', 'J12', 'J22', 'J75']",Chryseobacterium balustinum
7056,DSM 109188,"['92', '693']",Arthrobacter woluwensis
7057,DSM 26475,"['513', 'J582']",Cryobacterium flavum
7058,DSM 20634,"['11', 'J13', 'J14', 'J84']",Paucilactobacillus vaccinostercus
