taxid,cultures,sci_name,chromosome_numbers,genome_size,genome_gc_content,gene_counts,protein_coding_genes,lineage
2865673,"['J42', '65']",Streptomyces akebiae,2,10549378,7476568,9124,8717, Terrabacteria group  Actinomycetota  Actinomycetes  Kitasatosporales  Streptomycetaceae  Streptomyces
199,"['413', '693']",Campylobacter concisus,1,1840041,692132,1907,1821, Campylobacterota  Epsilonproteobacteria  Campylobacterales  Campylobacteraceae  Campylobacter
163604,"['535', 'J49', '83', '65']",Nocardiopsis exhalans,2,7597621,5292727,6845,6677, Terrabacteria group  Actinomycetota  Actinomycetes  Streptosporangiales  Nocardiopsaceae  Nocardiopsis
74426,"['J14', '104', '1203', '78', '1203a', '693']",Collinsella aerofaciens,1,2306349,1386690,1989,1904, Terrabacteria group  Actinomycetota  Coriobacteriia  Coriobacteriales  Coriobacteriaceae  Collinsella
1940525,"['J1123', '1534']",Labilibaculum manganireducens,4,5266404,1913777,4139,4034, FCB group  Bacteroidota/Chlorobiota group  Bacteroidota  Bacteroidia  Marinilabiliales  Marinifilaceae  Labilibaculum
170573,"['693', '92']",Staphylococcus pettenkoferi,1,2502360,973825,2384,2272, Terrabacteria group  Bacillota  Bacilli  Bacillales  Staphylococcaceae  Staphylococcus
294,"['90', 'J12', '92', '220a', '1306', '1203', '54', '514', '1593a', 'J475', '662', '907', '830', '129', '105', 'J75', 'J838', '1', '215', '1a', 'J43', '535', '9', '457', '360', '78', '65', '1509', '220', '1749', '465d', '67', 'J26', '693']",Pseudomonas fluorescens,1,6511547,3906043,5987,5823, Pseudomonadota  Gammaproteobacteria  Pseudomonadales  Pseudomonadaceae  Pseudomonas  Pseudomonas fluorescens group
984262,"['830', '172', '98', '535', 'J227', '514', '693']",Saprospira grandis str. Lewin,2,4400185,2039994,3467,3398, FCB group  Bacteroidota/Chlorobiota group  Bacteroidota  Saprospiria  Saprospirales  Saprospiraceae  Saprospira  Saprospira grandis
1549949,"['98', '1', '830']",Bradyrhizobium vignae,1,8156021,5166339,7711,7317, Pseudomonadota  Alphaproteobacteria  Hyphomicrobiales  Nitrobacteraceae  Bradyrhizobium
1967,"['252', 'J61', '84', '65']",Streptomyces kanamyceticus,1,10133897,7198148,8784,8529, Terrabacteria group  Actinomycetota  Actinomycetes  Kitasatosporales  Streptomycetaceae  Streptomyces
370777,['830c'],Arenimonas daejeonensis,1,3032542,2071561,3135,2475, Pseudomonadota  Gammaproteobacteria  Lysobacterales  Lysobacteraceae  Arenimonas
1140,['1678'],Synechococcus elongatus PCC 7942 = FACHB-805,2,2742269,1519940,2767,2706, Terrabacteria group  Cyanobacteriota/Melainabacteria group  Cyanobacteriota  Cyanophyceae  Synechococcales  Synechococcaceae  Synechococcus  Synechococcus elongatus
521520,"['220', '92']",Paenibacillus urinalis,4,5861041,2678215,5481,5301, Terrabacteria group  Bacillota  Bacilli  Bacillales  Paenibacillaceae  Paenibacillus
171404,['220'],Paenibacillus agaridevorans,1,9041977,4657555,7196,7009, Terrabacteria group  Bacillota  Bacilli  Bacillales  Paenibacillaceae  Paenibacillus
543736,"['27', '514f', '250', '1203', '1484', '1693', '84', '1727', '129', '104', '1', '426', '718', '1831', '535', '457', '65', 'J57', '220', '465', 'J118', '1543', '215b', '693']",Rhodococcus opacus PD630,4,9166298,6158212,8335,8079, Terrabacteria group  Actinomycetota  Actinomycetes  Mycobacteriales  Nocardiaceae  Rhodococcus  Rhodococcus opacus
1492,"['54b', '90', '545', 'J814', 'J966', '92', '104b', 'J640', '514', 'J475', '830', 'J346', '1133', 'J75', 'J207', '339', '634', '377a', 'J13', '412', 'J443', '411', 'J14', 'J74', '110', '220', 'J811', 'J118', 'J181', '1476', 'J26', '693']",Clostridium butyricum,3,4639914,1331351,4230,4058, Terrabacteria group  Bacillota  Clostridia  Eubacteriales  Clostridiaceae  Clostridium
335541,['213'],Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,1,2936195,1317351,2702,2594, Terrabacteria group  Bacillota  Clostridia  Eubacteriales  Syntrophomonadaceae  Syntrophomonas  Syntrophomonas wolfei  Syntrophomonas wolfei subsp. wolfei
2865673,"['J50', 'J66', 'J42', '84', '65']",Streptomyces akebiae,2,10549378,7476568,9124,8717, Terrabacteria group  Actinomycetota  Actinomycetes  Kitasatosporales  Streptomycetaceae  Streptomyces
1177574,"['693', '104']",Prevotella jejuni,2,3913006,1633580,3033,2887, FCB group  Bacteroidota/Chlorobiota group  Bacteroidota  Bacteroidia  Bacteroidales  Prevotellaceae  Prevotella
2865673,['65'],Streptomyces akebiae,2,10549378,7476568,9124,8717, Terrabacteria group  Actinomycetota  Actinomycetes  Kitasatosporales  Streptomycetaceae  Streptomyces
169435,"['J14', '339', 'J1130', '58', 'J676', '693']",Anaerotruncus colihominis,2,3508661,1904807,3474,3377, Terrabacteria group  Bacillota  Clostridia  Eubacteriales  Oscillospiraceae  Anaerotruncus
1842532,"['J1246', '504']",Syntrophotalea acetylenivorans,1,3218469,1719040,2948,2855, Thermodesulfobacteriota  Desulfuromonadia  Desulfuromonadales  Syntrophotaleaceae  Syntrophotalea
40324,"['J22', 'J30', 'J12', '92', 'J674', 'J475', 'J346', 'J254', '1', '994', '693', 'J27', 'J43', '535', 'J57', '220', 'J1019', 'J681', 'J118', 'J1022', 'J1017', 'J1016']",Stenotrophomonas maltophilia,1,4481118,2985731,4106,3996, Pseudomonadota  Gammaproteobacteria  Lysobacterales  Lysobacteraceae  Stenotrophomonas  Stenotrophomonas maltophilia group
379066,"['J346', '830', 'J211']",Gemmatimonas aurantiaca T-27,1,4636964,2980379,3999,3936, FCB group  Gemmatimonadota  Gemmatimonadia  Gemmatimonadales  Gemmatimonadaceae  Gemmatimonas  Gemmatimonas aurantiaca
509193,"['J826', '520']",Thermoanaerobacter brockii subsp. finnii Ako-1,1,2344824,809055,2395,2274, Terrabacteria group  Bacillota  Clostridia  Thermoanaerobacterales  Thermoanaerobacteraceae  Thermoanaerobacter  Thermoanaerobacter brockii  Thermoanaerobacter brockii subsp. finnii
292459,"['1293', 'J766']",Symbiobacterium thermophilum IAM 14863,1,3566135,2448808,3384,3233, Terrabacteria group  Bacillota  Clostridia  Eubacteriales  Symbiobacteriaceae  Symbiobacterium  Symbiobacterium thermophilum
1348774,"['514', '462']",Croceicoccus naphthovorans,3,3863562,2418898,3899,3764, Pseudomonadota  Alphaproteobacteria  Sphingomonadales  Erythrobacteraceae  Croceicoccus
93218,['220'],Pandoraea apista,2,5571260,3489455,5054,4913, Pseudomonadota  Betaproteobacteria  Burkholderiales  Burkholderiaceae  Pandoraea
2026,"['J475', 'J1087', '248', 'J443', '658', '214', '453', '553', '550', '215', 'J1075', 'J49', 'J51', '83', '84', '65', 'J48']",Thermoactinomyces vulgaris,2,2638027,1264212,2758,2623, Terrabacteria group  Bacillota  Bacilli  Bacillales  Thermoactinomycetaceae  Thermoactinomyces
2792008,"['J57', '426', '214', '65']",Pseudonocardia abyssalis,2,6305989,4630913,6195,6062, Terrabacteria group  Actinomycetota  Actinomycetes  Pseudonocardiales  Pseudonocardiaceae  Pseudonocardia
1218494,"['J853', '11']",Lactobacillus helsingborgensis,2,1867232,686327,1755,1672, Terrabacteria group  Bacillota  Bacilli  Lactobacillales  Lactobacillaceae  Lactobacillus
1211326,['7'],Spirosoma aerolatum,1,7959595,3848231,6690,6609, FCB group  Bacteroidota/Chlorobiota group  Bacteroidota  Cytophagia  Cytophagales  Cytophagaceae  Spirosoma
543526,"['J169', 'J168', '372']",Haloterrigena turkmenica DSM 5511,7,5440782,3496479,5281,5060, Euryarchaeota  Stenosarchaea group  Halobacteria  Halobacteriales  Natrialbaceae  Haloterrigena  Haloterrigena turkmenica
634498,"['119', '1523', '339a', '514f', '92', 'J530', '1', '693']",Methanobrevibacter ruminantium M1,1,2937203,958732,2283,2200, Euryarchaeota  Methanomada group  Methanobacteria  Methanobacteriales  Methanobacteriaceae  Methanobrevibacter  Methanobrevibacter ruminantium
29497,"['J118', '514c', '514', '693']",Vibrio splendidus,2,5449819,2412630,4815,4578, Pseudomonadota  Gammaproteobacteria  Vibrionales  Vibrionaceae  Vibrio
1120981,"['J22', '545', '215', '693']",Alysiella filiformis DSM 16848,1,2432066,1133452,2386,2276, Pseudomonadota  Betaproteobacteria  Neisseriales  Neisseriaceae  Alysiella  Alysiella filiformis
28454,"['J74', 'J22', '1']",Sphingobacterium multivorum,3,6025216,2413726,5223,5088, FCB group  Bacteroidota/Chlorobiota group  Bacteroidota  Sphingobacteriia  Sphingobacteriales  Sphingobacteriaceae  Sphingobacterium
44251,"['110', '220', '1', '514']",Paenibacillus durus,2,6053498,3075766,5464,5277, Terrabacteria group  Bacillota  Bacilli  Bacillales  Paenibacillaceae  Paenibacillus
2831968,"['535', '514', '65']",Nocardiopsis akebiae,1,6602217,4780861,5697,5553, Terrabacteria group  Actinomycetota  Actinomycetes  Streptosporangiales  Nocardiopsaceae  Nocardiopsis
2865673,"['84', '65']",Streptomyces akebiae,2,10549378,7476568,9124,8717, Terrabacteria group  Actinomycetota  Actinomycetes  Kitasatosporales  Streptomycetaceae  Streptomyces
762903,"['J75', '948']",Pseudopedobacter saltans DSM 12145,1,4635236,1695689,3854,3781, FCB group  Bacteroidota/Chlorobiota group  Bacteroidota  Sphingobacteriia  Sphingobacteriales  Sphingobacteriaceae  Pseudopedobacter  Pseudopedobacter saltans
515393,"['J84', '1a', '11', '535', 'J13', '381', '1']",Pseudomonas yamanorum,1,6856835,4155934,6279,6147, Pseudomonadota  Gammaproteobacteria  Pseudomonadales  Pseudomonadaceae  Pseudomonas
2057246,['104'],Acidipropionibacterium virtanenii,1,3432872,2346621,3168,3052, Terrabacteria group  Actinomycetota  Actinomycetes  Propionibacteriales  Propionibacteriaceae  Acidipropionibacterium
2819280,['1321'],Acidihalobacter yilgarnensis,1,3566941,2136954,3489,3316, Pseudomonadota  Gammaproteobacteria  Chromatiales  Ectothiorhodospiraceae  Acidihalobacter
273123,"['J22', 'J12', '215', '429', '693']",Yersinia pseudotuberculosis IP 32953,3,4839430,2301240,4355,4093, Pseudomonadota  Gammaproteobacteria  Enterobacterales  Yersiniaceae  Yersinia  Yersinia pseudotuberculosis complex  Yersinia pseudotuberculosis
266940,['830'],Kineococcus radiotolerans SRS30216 = ATCC BAA-149,3,4956672,3680088,4765,4678, Terrabacteria group  Actinomycetota  Actinomycetes  Kineosporiales  Kineosporiaceae  Kineococcus  Kineococcus radiotolerans
207340,"['830', '220', '92', '693']",Roseomonas mucosa,5,4996294,3511807,4610,4451, Pseudomonadota  Alphaproteobacteria  Rhodospirillales  Acetobacteraceae  Roseomonas
1796616,"['339', '110', '104', '1203', '78', '693']",Blautia pseudococcoides,1,5128746,2343869,4853,4630, Terrabacteria group  Bacillota  Clostridia  Lachnospirales  Lachnospiraceae  Blautia
1338,"['J70', 'J27', '92', '693']",Streptococcus intermedius,1,1932951,728858,1921,1777, Terrabacteria group  Bacillota  Bacilli  Lactobacillales  Streptococcaceae  Streptococcus  Streptococcus anginosus group
92758,['1076b'],Mycoplasmoides fastidiosum,1,1221951,385755,873,830, Terrabacteria group  Mycoplasmatota  Mycoplasmoidales  Mycoplasmoidaceae  Mycoplasmoides
598659,"['J751', '946']",Nautilia profundicola AmH,1,1676444,561735,1794,1728, Campylobacterota  Epsilonproteobacteria  Nautiliales  Nautiliaceae  Nautilia  Nautilia profundicola
864564,"['J14', '372', 'J574', '92', 'J118', 'J307', '104', '58', '514', '693']",Parascardovia denticolens DSM 10105 = JCM 12538,1,1890857,1102615,1593,1521, Terrabacteria group  Actinomycetota  Actinomycetes  Bifidobacteriales  Bifidobacteriaceae  Parascardovia  Parascardovia denticolens
632292,['671'],Caldicellulosiruptor hydrothermalis 108,1,2770676,1000625,2682,2585, Terrabacteria group  Bacillota  Bacillota incertae sedis  Caldicellulosiruptorales  Caldicellulosiruptoraceae  Caldicellulosiruptor  Caldicellulosiruptor hydrothermalis
69964,"['544', 'J75', '535', '441', '65', '693']",Azotobacter salinestris,3,5292366,3471379,5061,4780, Pseudomonadota  Gammaproteobacteria  Pseudomonadales  Pseudomonadaceae  Azotobacter group  Azotobacter
33028,"['J14', 'J84', '104', '693']",Staphylococcus saccharolyticus,2,2352566,756980,2351,1848, Terrabacteria group  Bacillota  Bacilli  Bacillales  Staphylococcaceae  Staphylococcus
589382,"['J475', 'J26', '92']",Agromyces flavus,1,3692408,2632469,3532,3461, Terrabacteria group  Actinomycetota  Actinomycetes  Micrococcales  Microbacteriaceae  Agromyces
2589797,"['535', '215']",Georgenia yuyongxinii,1,4171640,3004515,3828,3720, Terrabacteria group  Actinomycetota  Actinomycetes  Micrococcales  Bogoriellaceae  Georgenia
370038,"['1040', 'J551']",Oceanidesulfovibrio marinus,1,4761435,2973341,4173,4099, Thermodesulfobacteriota  Desulfovibrionia  Desulfovibrionales  Desulfovibrionaceae  Oceanidesulfovibrio
2749962,['92'],Lactococcus paracarnosus,1,2265140,866082,2251,2140, Terrabacteria group  Bacillota  Bacilli  Lactobacillales  Streptococcaceae  Lactococcus
1178537,['1'],Bacillus xiamenensis,1,3637729,1510820,3788,3617, Terrabacteria group  Bacillota  Bacilli  Bacillales  Bacillaceae  Bacillus
536,"['J22', 'J12', '92', '535', '1', '693']",Chromobacterium violaceum,2,4808040,3120082,4560,4420, Pseudomonadota  Betaproteobacteria  Neisseriales  Chromobacteriaceae  Chromobacterium
1496,"['J14', 'J84', '339', '1825', '92', '1757', 'J13', '1203', '78', 'J26', '693']",Clostridioides difficile,2,4095894,1168014,3731,3574, Terrabacteria group  Bacillota  Clostridia  Peptostreptococcales  Peptostreptococcaceae  Clostridioides
273116,"['J84', 'J42', '92', '82', '84', '214', '104', '83', '215', '252', '398', 'J180', '217', 'J49', '65', 'J14', '110', '218', '550', '693']",Thermoplasma volcanium GSS1,1,1584804,632630,1653,1583, Candidatus Thermoplasmatota  Thermoplasmata  Thermoplasmatales  Thermoplasmataceae  Thermoplasma  Thermoplasma volcanium
479435,['830'],Kribbella flavida DSM 17836,1,7579488,5348686,7131,7033, Terrabacteria group  Actinomycetota  Actinomycetes  Propionibacteriales  Kribbellaceae  Kribbella  Kribbella flavida
70258,"['J26', '693', '92']",Staphylococcus piscifermentans,1,2613271,959126,2477,2374, Terrabacteria group  Bacillota  Bacilli  Bacillales  Staphylococcaceae  Staphylococcus
696485,"['428', 'J14', '830', 'J118', 'J589', '115', '246', '78', '1076b', '104', '58', '1203a', '514', '1233']",Vibrio owensii,2,5890205,2690802,5279,5084, Pseudomonadota  Gammaproteobacteria  Vibrionales  Vibrionaceae  Vibrio  Vibrio harveyi group
172042,['92'],Rothia aeria,1,2707814,1526955,2382,2312, Terrabacteria group  Actinomycetota  Actinomycetes  Micrococcales  Micrococcaceae  Rothia
1122611,"['535', '553']",Nonomuraea coxensis DSM 45129,1,9073954,6548501,8551,8372, Terrabacteria group  Actinomycetota  Actinomycetes  Streptosporangiales  Streptosporangiaceae  Nonomuraea  Nonomuraea coxensis
1354,"['J68', 'J27', '92', 'J156', 'J77', '693']",Enterococcus hirae,1,2845651,1052529,2580,2459, Terrabacteria group  Bacillota  Bacilli  Lactobacillales  Enterococcaceae  Enterococcus
38313,"['949', 'J75', 'J118', '514']",Shewanella algae,1,4990025,2642538,4450,4282, Pseudomonadota  Gammaproteobacteria  Alteromonadales  Shewanellaceae  Shewanella
243161,['1193'],Chlamydia muridarum str. Nigg,2,1080451,435470,942,890, PVC group  Chlamydiota  Chlamydiia  Chlamydiales  Chlamydiaceae  Chlamydia/Chlamydophila group  Chlamydia  Chlamydia muridarum
1006576,"['1328', 'J844']",Defluviitoga tunisiensis,1,2053097,644167,1895,1831, Thermotogota  Thermotogae  Petrotogales  Petrotogaceae  Defluviitoga
2750812,"['J61', '535', '554', '84']",Actinomadura graeca,3,8979594,6498697,7926,7757, Terrabacteria group  Actinomycetota  Actinomycetes  Streptosporangiales  Thermomonosporaceae  Actinomadura
1541170,['1'],Sphingomonas morindae,4,4239716,2945255,3996,3896, Pseudomonadota  Alphaproteobacteria  Sphingomonadales  Sphingomonadaceae  Sphingomonas
2591633,"['1', '535', '545']",Lysobacter alkalisoli,1,3857091,2567288,3432,3280, Pseudomonadota  Gammaproteobacteria  Lysobacterales  Lysobacteraceae  Lysobacter
549,"['J22', 'J12', '92', '514', '830', 'J75', '1', '83', 'J474', '226', 'J28', 'J43', 'J104', '65', 'J57', '220', 'J118', 'J26', '693']",Pantoea agglomerans,3,4692018,2585725,4362,4209, Pseudomonadota  Gammaproteobacteria  Enterobacterales  Erwiniaceae  Pantoea  Pantoea agglomerans group
519441,"['1', '693']",Streptobacillus moniliformis DSM 12112,2,1673280,439733,1570,1490, Fusobacteriota  Fusobacteriia  Fusobacteriales  Leptotrichiaceae  Streptobacillus  Streptobacillus moniliformis
131318,"['J26', '535', '693']",Corynebacterium felinum,1,3236025,1743297,2717,2617, Terrabacteria group  Actinomycetota  Actinomycetes  Mycobacteriales  Corynebacteriaceae  Corynebacterium
645127,"['J256', '693']",Corynebacterium kroppenstedtii DSM 44385,1,2446804,1405930,2111,2021, Terrabacteria group  Actinomycetota  Actinomycetes  Mycobacteriales  Corynebacteriaceae  Corynebacterium  Corynebacterium kroppenstedtii
290338,"['J22', '1259', '1504', '987', 'J12', '92', 'J61', '553', '714', '1', '215', '426', 'J43', '535', '65', '535a', '621', '554', '693']",Citrobacter koseri ATCC BAA-895,3,4735357,2548921,4417,4257, Pseudomonadota  Gammaproteobacteria  Enterobacterales  Enterobacteriaceae  Citrobacter  Citrobacter koseri
1328770,['514a'],Vibrio cortegadensis,4,4668569,1982088,4211,4005, Pseudomonadota  Gammaproteobacteria  Vibrionales  Vibrionaceae  Vibrio
195,"['J14', 'J256', '215', '693']",Campylobacter coli,2,1716536,538043,1775,1688, Campylobacterota  Epsilonproteobacteria  Campylobacterales  Campylobacteraceae  Campylobacter
2792008,"['J57', '214', '65']",Pseudonocardia abyssalis,2,6305989,4630913,6195,6062, Terrabacteria group  Actinomycetota  Actinomycetes  Pseudonocardiales  Pseudonocardiaceae  Pseudonocardia
191292,['535'],Rhodococcus aetherivorans,3,6558029,4595790,5958,5805, Terrabacteria group  Actinomycetota  Actinomycetes  Mycobacteriales  Nocardiaceae  Rhodococcus
445975,"['J14', '104']",Collinsella stercoris DSM 13279,1,2460750,1558900,2095,2017, Terrabacteria group  Actinomycetota  Coriobacteriia  Coriobacteriales  Coriobacteriaceae  Collinsella  Collinsella stercoris
879212,"['J84', 'J22', '220', '830', 'J12', '11', '92', 'J13', 'J77', 'J16', 'J17', '193', '693']",Desulfobacter postgatei 2ac9,1,3974658,1874851,3701,3599, Thermodesulfobacteriota  Desulfobacteria  Desulfobacterales  Desulfobacteraceae  Desulfobacter  Desulfobacter postgatei
485,"['J475', '429b', 'J1270', 'J256', '693']",Neisseria gonorrhoeae,2,2171755,1142300,2299,2002, Pseudomonadota  Betaproteobacteria  Neisseriales  Neisseriaceae  Neisseria
82367,"['54b', '463', 'J22', 'J84', '90', '533', '141c', '1717', '51', 'J42', 'J12', '220a', 'J66', '11', 'J305', '122', '104b', '80', '381', '58', '509', '559', '514', 'J97', 'J154', '84', '1728', 'J50', '104c', '471', 'J58', 'J346', '129', '105', '98', '186', '531', 'J254', '330', '691', '628', '882', '81', '1', '1203a', '311c', '119', '452', '613', '252', 'J45', '462', '194', '360', '535', '457', 'J13', 'J77', '78', '411', '65', 'J14', 'J74', '110', '220', '684', '372', '465', 'J465', '667', '693']",Paracoccus pantotrophus,4,4409379,2980907,4373,4167, Pseudomonadota  Alphaproteobacteria  Rhodobacterales  Paracoccaceae  Paracoccus
404405,['830'],Azospira restricta,1,3975213,2728728,3793,3720, Pseudomonadota  Betaproteobacteria  Rhodocyclales  Rhodocyclaceae  Azospira
47715,"['J84', 'J148', 'J30', '92', '11', 'J118', 'J2', 'J13', '693']",Lacticaseibacillus rhamnosus,1,2941522,1375020,2736,2625, Terrabacteria group  Bacillota  Bacilli  Lactobacillales  Lactobacillaceae  Lacticaseibacillus
45972,"['830', '84', '220', '545', 'J346', '987', '92', '621', '714', 'J254', '535', '554', '381', 'J443', '514', '65', '693']",Staphylococcus pasteuri,2,2484808,784710,2441,2321, Terrabacteria group  Bacillota  Bacilli  Bacillales  Staphylococcaceae  Staphylococcus
146827,"['535a', '92', '535', 'J282', '693']",Corynebacterium simulans,1,2598702,1539890,2446,2342, Terrabacteria group  Actinomycetota  Actinomycetes  Mycobacteriales  Corynebacteriaceae  Corynebacterium
82989,"['535', '220']",Buttiauxella ferragutiae,1,5286310,2669428,4865,4654, Pseudomonadota  Gammaproteobacteria  Enterobacterales  Enterobacteriaceae  Buttiauxella
1413221,"['252', '84', '65']",Streptomyces ferrugineus,1,9959088,7056921,8984,8643, Terrabacteria group  Actinomycetota  Actinomycetes  Kitasatosporales  Streptomycetaceae  Streptomyces
1697,"['J475', 'J22', '545', '535']",Corynebacterium ammoniagenes,1,2790185,1549746,2548,2456, Terrabacteria group  Actinomycetota  Actinomycetes  Mycobacteriales  Corynebacteriaceae  Corynebacterium
1426,"['220a', '92', '514c', '1492', '514', '830', '129', '305', '104', '1', '130', 'J27', '535', '65', '220', '458', '262', '693']",Parageobacillus thermoglucosidasius,3,4004923,1755255,4023,3772, Terrabacteria group  Bacillota  Bacilli  Bacillales  Bacillaceae  Parageobacillus
1633,"['339', 'J13', '11']",Limosilactobacillus vaginalis,2,1883554,760433,1841,1730, Terrabacteria group  Bacillota  Bacilli  Lactobacillales  Lactobacillaceae  Limosilactobacillus
47886,"['J22', '220', '92', '693']",Pseudomonas luteola,5,5901383,3270589,5634,5423, Pseudomonadota  Gammaproteobacteria  Pseudomonadales  Pseudomonadaceae  Pseudomonas
244566,['1a'],Pseudomonas lurida,2,6253326,3798259,5783,5626, Pseudomonadota  Gammaproteobacteria  Pseudomonadales  Pseudomonadaceae  Pseudomonas
1549855,['693'],Haematospirillum jordaniae,3,2467625,1368175,2302,2203, Pseudomonadota  Alphaproteobacteria  Rhodospirillales  Novispirillaceae  Haematospirillum
936337,"['J26', '65']",Microbacterium amylolyticum,2,2588344,1670013,2507,2381, Terrabacteria group  Actinomycetota  Actinomycetes  Micrococcales  Microbacteriaceae  Microbacterium
113562,"['J42', '553', '84', '65']",Actinoplanes derwentensis,1,10654181,7389406,9589,9358, Terrabacteria group  Actinomycetota  Actinomycetes  Micromonosporales  Micromonosporaceae  Actinoplanes
1167006,['386'],Desulfocapsa sulfexigens DSM 10523,2,4023512,1825701,3591,3518, Thermodesulfobacteriota  Desulfobulbia  Desulfobulbales  Desulfocapsaceae  Desulfocapsa  Desulfocapsa sulfexigens
137584,['514'],Thalassomonas viridans,2,7945408,3886639,6855,6644, Pseudomonadota  Gammaproteobacteria  Alteromonadales  Colwelliaceae  Thalassomonas
79885,"['1426', '830c', 'J22', '31', '1a', '830', 'J118', 'J181', '381', '514']",Alkalihalophilus pseudofirmus,2,4239319,1686849,4384,4221, Terrabacteria group  Bacillota  Bacilli  Bacillales  Bacillaceae  Alkalihalophilus
198620,"['J1014', 'J22', '90', '1545', 'J42', '11', '92', '874', '1552', '514', '907', '830', '1604', '129', '553', '186', 'J75', '1285', '11b', '195c', '1', '1a', '1579', 'J27', 'J1043', '948', 'J283', '535', '1193', '78', '380', 'J443', '65', '110', '220', '1749', '535b', 'J26', 'J1105', '693']",Pseudomonas koreensis,1,6123913,3706910,5599,5450, Pseudomonadota  Gammaproteobacteria  Pseudomonadales  Pseudomonadaceae  Pseudomonas  Pseudomonas fluorescens group
29380,"['693', '92']",Staphylococcus caprae,1,2598513,873613,2514,2404, Terrabacteria group  Bacillota  Bacilli  Bacillales  Staphylococcaceae  Staphylococcus
59277,"['119', '92', '814', '693']",Methanobacterium subterraneum,1,2515817,991342,2479,2411, Euryarchaeota  Methanomada group  Methanobacteria  Methanobacteriales  Methanobacteriaceae  Methanobacterium
367190,['429'],Yersinia similis,2,4964409,2332230,4540,4200, Pseudomonadota  Gammaproteobacteria  Enterobacterales  Yersiniaceae  Yersinia  Yersinia pseudotuberculosis complex
65741,"['1', '457']",Pseudomonas knackmussii,1,6095635,4001567,5698,5578, Pseudomonadota  Gammaproteobacteria  Pseudomonadales  Pseudomonadaceae  Pseudomonas
2162,"['90', '11', '92', 'J242', '381', '514', 'J475', '830', '825', 'J75', '1', '119', '1523', '231', 'J14', '428', '110', '220', '825a', 'J118', '310', '693']",Methanobacterium formicicum,1,2494510,1026334,2462,2404, Euryarchaeota  Methanomada group  Methanobacteria  Methanobacteriales  Methanobacteriaceae  Methanobacterium
34071,['830'],Telluria mixta,1,7444617,4908040,6557,6361, Pseudomonadota  Betaproteobacteria  Burkholderiales  Oxalobacteraceae  Telluria group  Telluria
171404,['220'],Paenibacillus agaridevorans,1,9041977,4657555,7196,7009, Terrabacteria group  Bacillota  Bacilli  Bacillales  Paenibacillaceae  Paenibacillus
525903,['104c'],Thermanaerovibrio acidaminovorans DSM 6589,1,1848474,1179189,1829,1763, Synergistota  Synergistia  Synergistales  Synergistaceae  Thermanaerovibrio  Thermanaerovibrio acidaminovorans
151416,['830'],Bosea vestrisii,2,6306553,4153925,6193,5843, Pseudomonadota  Alphaproteobacteria  Hyphomicrobiales  Boseaceae  Bosea
1314884,"['J84', 'J598', 'J30', '11', 'J254', 'J392', 'J13', '232', 'J25']",Lactobacillus acidophilus La-14,1,1991579,691203,1924,1786, Terrabacteria group  Bacillota  Bacilli  Lactobacillales  Lactobacillaceae  Lactobacillus  Lactobacillus acidophilus
145262,"['1040', 'J22', 'J84', 'J1015', 'J12', '92', '11', '514f', '921', 'J1190', 'J231', '381', '58', '514', '645', '830', 'J720', '403', 'J346', '1190', '129', '553', '186', '104', '1', '215', '339', '119', '1675', '1523', '535', 'J13', '1193', '703', '65', 'J14', '830c', '1078', 'J118', '1076b', '554', '693']",Methanothermobacter thermautotrophicus,1,1751429,867969,1861,1806, Euryarchaeota  Methanomada group  Methanobacteria  Methanobacteriales  Methanobacteriaceae  Methanothermobacter
484019,"['141c', '718', '9']",Thermosipho africanus TCF52B,1,2016657,621348,2042,1950, Thermotogota  Thermotogae  Thermotogales  Fervidobacteriaceae  Thermosipho  Thermosipho africanus
58346,"['110', '84', '252', '1190', '665', 'J61', '742', 'J42', 'J66', '823', 'J225', '65']",Streptomyces platensis,1,8501012,6043167,7468,7163, Terrabacteria group  Actinomycetota  Actinomycetes  Kitasatosporales  Streptomycetaceae  Streptomyces
57037,['11'],Lacticaseibacillus zeae,2,3073411,1475241,2898,2777, Terrabacteria group  Bacillota  Bacilli  Lactobacillales  Lactobacillaceae  Lacticaseibacillus
38290,"['J256', '693']",Corynebacterium macginleyi,1,2431961,1386931,2320,2147, Terrabacteria group  Actinomycetota  Actinomycetes  Mycobacteriales  Corynebacteriaceae  Corynebacterium
2594795,"['J27', '535']",Chitinimonas arctica,1,5292479,3217329,4798,4672, Pseudomonadota  Betaproteobacteria  Neisseriales  Chitinibacteraceae  Chitinimonas
51669,['514'],Tetragenococcus halophilus,1,2389470,859952,2347,2203, Terrabacteria group  Bacillota  Bacilli  Lactobacillales  Enterococcaceae  Tetragenococcus
70601,"['377', 'J151']",Pyrococcus horikoshii OT3,1,1738505,728068,1940,1853, Euryarchaeota  Thermococci  Thermococcales  Thermococcaceae  Pyrococcus  Pyrococcus horikoshii
572544,['500'],Ilyobacter polytropus DSM 2926,3,3132314,1076435,3063,2932, Fusobacteriota  Fusobacteriia  Fusobacteriales  Fusobacteriaceae  Ilyobacter  Ilyobacter polytropus
2827233,['693'],Pasteurella atlantica,1,2223678,765067,2039,1946,
