,Organism DSMZ ID,TaxonID,Organism Name,Media list
1608,14451,174587,Carnobacterium viridans, TRYPTICASE SOY Yeast extract medium
1609,14151,33977,Caryophanon latum, CARYOPHANON LATUM medium
1610,14152,33978,Caryophanon tenue, CARYOPHANON LATUM medium
1611,22240,266123,Castellaniella caeni, R2A medium
1612,25289,null,Castellaniella daejeonensis,
1613,12141,75697,Castellaniella defragrans,
1614,11046,56119,Castellaniella denitrificans,  For DSM 11046
1615,23970,546114,Castellaniella ginsengisoli, R2A medium
1616,44899,310355,Catellatospora bangladeshensis, YEAST-STARCH-AGAR(B)
1617,44900,310353,Catellatospora chokoriensis, YEAST-STARCH-AGAR(B)
1618,44097,53366,Catellatospora citre, GYM STREPTOMYCES medium
1619,44901,310354,Catellatospora coxensis, YEAST-STARCH-AGAR(B)
1620,44098,121620,Catellatospora methionotrophic, GYM STREPTOMYCES medium
1621,44966,367281,Catellatospora yuxiensis, GPHF-MEDIUM
1622,21823,null,Catellibacterium caeni, LB (Luria-Bertani) medium
1623,18774,null,Catellibacterium changlense,  For DSM 18774
1624,15620,220343,Catellibacterium nectariphilum, NPB medium
1625,16851,null,Catellibacterium sp., R2A medium
1626,18331,300419,Catellicoccus marimammalium, COLUMBIA BLOOD medium
1627,44566,129052,Catelliglobosispora koreensis, GYM STREPTOMYCES medium
1628,15897,100886,Catenibacterium mitsuokai, CHOPPED MEAT medium WITH CARBOHYDRATES
1629,9165,94140,Catenococcus thiocycli, CATENOCOCCUS MEDIUM
1630,23111,1172192,Catenovulum agarivorans, MEDIUM 514 MODIFIED FOR DSM 23111
1631,44928,304895,Catenulispora acidiphil, MEDIUM 987 MODIFIED FOR DSM 44928
1632,44948,280293,Catenulispora rubr, YEAST STARCH AGAR (A)
1633,45249,450798,Catenulispora subtropic, ISP2 medium
1634,45250,450799,Catenulispora yoronensis, ISP2 medium
1635,44707,137266,Catenuloplanes atrovinosus, GYM STREPTOMYCES medium
1636,44708,679732,Catenuloplanes castaneus, GYM STREPTOMYCES medium
1637,44128,90058,Catenuloplanes crispus, ROLLED OATS MINERAL medium
1638,44709,137267,Catenuloplanes indicus, GYM STREPTOMYCES medium
1639,44102,33876,Catenuloplanes japonicus, GYM STREPTOMYCES medium
1640,44710,587533,Catenuloplanes nepalensis, GYM STREPTOMYCES medium
1641,44711,587534,Catenuloplanes niger, GYM STREPTOMYCES medium
1642,4728,69396,Caulobacter fusiformis, CAULOBACTER medium
1643,18695,400775,Caulobacter ginsengisoli, R2A medium
1644,4730,69395,Caulobacter henricii, CAULOBACTER medium
1645,21795,null,Caulobacter mirabilis, PYEM medium
1646,7131,88688,Caulobacter segnis, NUTRIENT AGAR
1647,6811,null,Caulobacter sp., CAULOBACTER medium
1648,9893,155892,Caulobacter vibrioides, CAULOBACTER medium
1649,4568,158484,Cedecea davisae,
1650,4587,158823,Cedecea lapagei, NUTRIENT AGAR
1651,13693,158822,Cedecea neteri, CASO AGAR (Merck 105458)
1652,26471,588602,Celeribacter neptunius, BACTO MARINE BROTH (DIFCO 2216)
1653,18573,412034,Celerinatantimonas diazotrophic, BACTO MARINE BROTH (DIFCO 2216)
1654,18649,515326,Cellulomonas aerilat, R2A medium
1655,20112,1709,Cellulomonas biazote, CORYNEBACTERIUM AGAR
1656,16987,301388,Cellulomonas bogoriensis, BOGORIELLA medium
1657,26485,null,Cellulomonas carbonis, BACTO MARINE BROTH (DIFCO 2216)
1658,20118,43670,Cellulomonas cellase, CORYNEBACTERIUM AGAR
1659,17922,398759,Cellulomonas chitinilytic, R2A medium
1660,25222,266130,Cellulomonas composti, R2A medium
1661,15764,264297,Cellulomonas denverensis, TRYPTICASE SOY Yeast extract medium
1662,20113,1708,Cellulomonas fimi, CORYNEBACTERIUM AGAR
1663,20109,1711,Cellulomonas flavigen, CORYNEBACTERIUM AGAR
1664,20110,1712,Cellulomonas gelid, CORYNEBACTERIUM AGAR
1665,30843,156981,Cellulomonas hominis, CASO AGAR (Merck 105458)
1666,14368,144055,Cellulomonas humilat, COLUMBIA BLOOD medium
1667,14785,76862,Cellulomonas iranensis, TRYPTICASE SOY Yeast extract medium
1668,14784,76861,Cellulomonas persic, TRYPTICASE SOY Yeast extract medium
1669,22512,null,Cellulomonas phragmiteti, TRYPTICASE SOY Yeast extract medium
1670,17791,311234,Cellulomonas terrae, TRYPTICASE SOY Yeast extract medium
1671,20108,1714,Cellulomonas ud, CORYNEBACTERIUM AGAR
1672,16933,233583,Cellulomonas xylanilytic, CORYNEBACTERIUM AGAR
1673,14237,59600,Cellulophaga algicol, BACTO MARINE BROTH (DIFCO 2216)
1674,24729,76594,Cellulophaga baltic, BACTO MARINE BROTH (DIFCO 2216)
1675,24786,76595,Cellulophaga fucicol, BACTO MARINE BROTH (DIFCO 2216)
1676,7489,979,Cellulophaga lytic, CYTOPHAGA (marine) medium
1677,21164,504486,Cellulophaga tyrosinoxydans, BACTO MARINE BROTH (DIFCO 2216)
1678,5427,29360,Cellulosilyticum lentocellum, CM3 medium
1679,7461,1710,Cellulosimicrobium cellulans, CASO AGAR (Merck 105458)
1680,16025,264251,Cellulosimicrobium funkei, TRYPTICASE SOY Yeast extract medium
1681,18665,412439,Cellulosimicrobium terreum, TRYPTICASE SOY Yeast extract medium
1682,16271,180916,Cellvibrio fulvus, DUBOS SALTS MEDIUM
1683,24583,126348,Cellvibrio gandavensis, TRYPTONE SOYA BROTH (TSB)
1684,16015,155077,Cellvibrio japonicus, CARBOXYMETHYL CELLULOSE medium
1685,16616,200905,Cellvibrio ostraviensis, R2A medium
1686,16001,180915,Cellvibrio vulgaris, DUBOS SALTS MEDIUM
1687,2778,82203,Centipeda periodontii, CHOPPED MEAT medium WITH CARBOHYDRATES
1688,15825,227865,Cerasibacillus quisquiliarum, MEDIUM 535 MODIFIED FOR DSM 15825
1689,22818,649507,Cesiribacter andamanensis, MEDIUM 514 MODIFIED FOR DSM 22818
1690,23941,188913,Cetobacterium somerae, COLUMBIA BLOOD medium
1691,19276,449974,Chelativorans oligotrophicus, R2A medium
1692,6461,28210,Chelatococcus asaccharovorans, NITRILOTRIACETATE MEDIUM
1693,22069,444444,Chelatococcus daeguensis, TRYPTICASE SOY BROTH AGAR
1694,18167,null,Chelatococcus sambhunathii, NUTRIENT AGAR
1695,21697,null,Chelatococcus sp., R2A medium
1696,6780,449974,Chelatovorus multitrophicus, R2A medium
1697,21392,505317,Chelonobacter oris, COLUMBIA BLOOD medium
1698,22217,null,Chitinibacter alvei,
1699,15459,230667,Chitinibacter tainanensis, LB (Luria-Bertani) medium
1700,21506,362520,Chitinilyticum aquatile,
1701,21440,1121276,Chitinilyticum litopenaei, R2A medium
1702,17726,356302,Chitinimonas koreensis, R2A medium
1703,18899,240412,Chitinimonas taiwanensis, NUTRIENT AGAR
1704,23277,553088,Chitiniphilus shinanonensis,
1705,3695,29529,Chitinophaga arvensicol, CY-AGAR
1706,22224,null,Chitinophaga eiseniae,  For DSM 22224
1707,527,104663,Chitinophaga filiformis, C/10 medium
1708,18108,393003,Chitinophaga ginsengisegetis, R2A medium
1709,18107,363837,Chitinophaga ginsengisoli, R2A medium
1710,13484,104662,Chitinophaga japonensis, MEDIUM 1 MODIFIED FOR DSM 13484
1711,24787,536979,Chitinophaga niabensis, R2A medium
1712,24859,536980,Chitinophaga niastensis, R2A medium
1713,2588,79329,Chitinophaga pinensis, CY-AGAR
1714,21039,null,Chitinophaga rupis, NUTRIENT AGAR
1715,784,1004,Chitinophaga sancti, CY-AGAR
1716,23857,331697,Chitinophaga skermanii, TRYPTONE SOYA BROTH (TSB)
1717,18078,null,Chitinophaga sp., R2A medium
1718,23920,398039,Chitinophaga terrae, LB (Luria-Bertani) medium
1719,19440,813,Chlamydia trachomatis,
1720,19748,83558,Chlamydophila pneumoniae,
1721,1677,274537,Chlorobaculum limnaeum," PFENNIG'S MEDIUM II (modified 1988, for green sulfur bacteria)"
1722,263,274539,Chlorobaculum parvum, PFENNIG'S MEDIUM II WITH SALT
1723,254,null,Chlorobaculum sp.," PFENNIG'S MEDIUM II (modified 1988, for green sulfur bacteria)"
1724,12025,1097,Chlorobaculum tepidum, MEDIUM 29 MODIFIED FOR DSM 12025
1725,249,115852,Chlorobaculum thiosulfatiphilum," PFENNIG'S MEDIUM II (modified 1988, for green sulfur bacteria)"
1726,13031,84205,Chlorobium ferrooxidans, MEDIUM FOR CHLOROBIUM FERROOXIDANS
1727,258,1092,Chlorobium limicol," PFENNIG'S MEDIUM II (modified 1988, for green sulfur bacteria)"
1728,262,1100,Chlorobium luteolum, PFENNIG'S MEDIUM II WITH SALT
1729,265,1094,Chlorobium phaeovibrioides, PFENNIG'S MEDIUM II WITH SALT
1730,9486,152260,Chloroflexus aggregans, CHLOROFLEXUS AGGREGANS medium
1731,636,1108,Chloroflexus aurantiacus, CHLOROFLEXUS medium (modified)
1732,14605,51,Chondromyces apiculatus, VY/2 AGAR
1733,14606,52,Chondromyces crocatus, VY/2 AGAR
1734,53748,83446,Chondromyces lanuginosus, VY/2 AGAR
1735,14607,83447,Chondromyces pediculatus, VY/2 AGAR
1736,14608,83448,Chondromyces robustus, MEDIUM 9 MODIFIED FOR DSM 14608
1737,23344,1132028,Chromatocurvus halotolerans, BACTO MARINE BROTH (DIFCO 2216)
1738,19852,467180,Chromobacterium aquaticum, TRYPTICASE SOY BROTH AGAR
1739,19808,394935,Chromobacterium haemolyticum, TRYPTICASE SOY BROTH AGAR
1740,23278,686831,Chromobacterium piscinae, TRYPTICASE SOY BROTH AGAR
1741,23279,686830,Chromobacterium pseudoviolaceum,
1742,11369,null,Chromobacterium sp., NUTRIENT AGAR
1743,17043,251747,Chromobacterium subtsugae, CASO AGAR (Merck 105458)
1744,30191,536,Chromobacterium violaceum,
1745,7218,86179,Chromohalobacter beijerinckii, 10% MH medium
1746,6769,141389,Chromohalobacter canadensis, 10% MH medium
1747,6768,141390,Chromohalobacter israelensis, 10% MH medium
1748,6770,42055,Chromohalobacter marismortui, MARINOCOCCUS ALBUS - medium
1749,14323,119863,Chromohalobacter nigrandesensis, MEDIUM 514 MODIFIED FOR DSM 14323
1750,6767,158080,Chromohalobacter salexigens, 10% MH medium
1751,15547,245294,Chromohalobacter sarecensis, MEDIUM 514 MODIFIED FOR DSM 15547
1752,17047,266748,Chryseobacterium antarcticum, R2A medium
1753,16775,246,Chryseobacterium balustinum, TRYPTICASE SOY Yeast extract medium
1754,19481,421530,Chryseobacterium bovis, LB (Luria-Bertani) medium
1755,17710,365343,Chryseobacterium caeni, R2A medium
1756,23145,713588,Chryseobacterium chaponense, R2A medium
1757,23031,680127,Chryseobacterium culicis, TRYPTONE SOYA BROTH (TSB)
1758,15235,192389,Chryseobacterium daecheongense, NUTRIENT AGAR
1759,19388,412438,Chryseobacterium daeguense, TRYPTONE SOYA BROTH (TSB)
1760,14219,160396,Chryseobacterium defluvii, NUTRIENT AGAR
1761,17452,236814,Chryseobacterium formosense, NUTRIENT AGAR
1762,18014,373672,Chryseobacterium gambrini, TRYPTONE SOYA BROTH (TSB)
1763,16776,250,Chryseobacterium gleum, TRYPTICASE SOY Yeast extract medium
1764,19109,456299,Chryseobacterium gregarium, NUTRIENT AGAR
1765,19056,421525,Chryseobacterium haifense, NUTRIENT AGAR
1766,30866,420404,Chryseobacterium hominis, TRYPTICASE SOY Yeast extract medium
1767,21580,651561,Chryseobacterium humi, TRYPTONE SOYA BROTH (TSB)
1768,19684,454006,Chryseobacterium hungaricum, NUTRIENT AGAR
1769,16777,253,Chryseobacterium indologenes, TRYPTICASE SOY Yeast extract medium
1770,16778,254,Chryseobacterium indoltheticum, TRYPTICASE SOY Yeast extract medium
1771,19299,445960,Chryseobacterium jejuense, R2A medium
1772,17048,266749,Chryseobacterium jeonii, R2A medium
1773,16927,112234,Chryseobacterium joostei, TRYPTICASE SOY Yeast extract medium
1774,18605,421531,Chryseobacterium luteum, TRYPTONE SOYA BROTH (TSB)
1775,18016,216903,Chryseobacterium molle, TRYPTONE SOYA BROTH (TSB)
1776,19055,421058,Chryseobacterium oranimense, NUTRIENT AGAR
1777,18015,373671,Chryseobacterium pallidum, TRYPTONE SOYA BROTH (TSB)
1778,21579,493376,Chryseobacterium palustre, TRYPTONE SOYA BROTH (TSB)
1779,22249,558152,Chryseobacterium piperi, TRYPTONE SOYA BROTH (TSB)
1780,21068,551459,Chryseobacterium piscicol, NUTRIENT AGAR
1781,16779,59733,Chryseobacterium scophthalmum, TRYPTICASE SOY Yeast extract medium
1782,17126,297244,Chryseobacterium shigense, NUTRIENT AGAR
1783,17072,311333,Chryseobacterium soldanellicol, R2A medium
1784,19298,445961,Chryseobacterium soli, R2A medium
1785,22468,510955,Chryseobacterium solincol, LB (Luria-Bertani) medium
1786,30639,null,Chryseobacterium sp., CASO AGAR (Merck 105458)
1787,17071,311334,Chryseobacterium taeanense, R2A medium
1788,17453,295069,Chryseobacterium taichungense, NUTRIENT AGAR
1789,22251,631455,Chryseobacterium treverense, R2A medium
1790,18017,373668,Chryseobacterium ureilyticum, TRYPTONE SOYA BROTH (TSB)
1791,17724,356305,Chryseobacterium wanjuense, R2A medium
1792,23889,null,Chryseoglobus frigidaquae, TRYPTICASE SOY Yeast extract medium
1793,11915,309797,Chrysiogenes arsenatis, CHRYSIOGENES MEDIUM
1794,23976,454171,Chthonomonas calidirose, T49 medium
1795,22011,null,Citreicella aestuarii, BACTO MARINE BROTH (DIFCO 2216)
1796,26424,null,Citreicella marin, BACTO MARINE BROTH (DIFCO 2216)
1797,10146,282683,Citreicella thiooxidans, BACTO MARINE BROTH (DIFCO 2216)
1798,15665,246603,Citricoccus alkalitolerans, MEDIUM 987 MODIFIED FOR DSM 15665
1799,14442,169134,Citricoccus muralis, TRYPTICASE SOY Yeast extract medium
1800,23311,863575,Citricoccus nitrophenolicus, TRYPTICASE SOY Yeast extract medium
1801,22055,592307,Citricoccus parietis, GYM STREPTOMYCES medium
1802,23847,null,Citricoccus zhacaiensis, TRYPTICASE SOY Yeast extract medium
1803,4593,35703,Citrobacter amalonaticus,
1804,17596,57706,Citrobacter braakii, TRYPTICASE SOY BROTH AGAR
1805,17655,67824,Citrobacter farmeri, NUTRIENT AGAR
1806,15979,546,Citrobacter freundii, CASO AGAR (Merck 105458)
1807,13694,67828,Citrobacter gillenii, NUTRIENT AGAR
1808,4570,545,Citrobacter koseri, NUTRIENT AGAR
1809,13695,67829,Citrobacter murliniae, NUTRIENT AGAR
1810,16636,67825,Citrobacter rodentium, CASO AGAR (Merck 105458)
1811,17674,67826,Citrobacter sedlakii, TRYPTICASE SOY BROTH AGAR
1812,46298,null,Citrobacter sp., REACTIVATION WITH LIQUID medium
1813,30820,67827,Citrobacter werkmanii, CASO AGAR (Merck 105458)
1814,17578,133448,Citrobacter youngae, TRYPTICASE SOY BROTH AGAR
1815,20157,33014,Clavibacter michiganensis subsp. insidiosus, CORYNEBACTERIUM AGAR
1816,20134,33013,Clavibacter michiganensis subsp. michiganensis, CORYNEBACTERIUM AGAR
1817,7483,31963,Clavibacter michiganensis subsp. nebraskensis, TRYPTICASE SOY Yeast extract medium
1818,20744,31964,Clavibacter michiganensis subsp. sepedonicus, CORYNEBACTERIUM AGAR
1819,20741,31965,Clavibacter michiganensis subsp. tessellarius, TRYPTICASE SOY Yeast extract medium
1820,6685,null,Clavibacter sp., MEDIUM 92 MODIFIED FOR DSM 6685
1821,44578,161357,Clavisporangium rectum, ROLLED OATS MINERAL medium
1822,19522,508460,Cloacibacillus evryensis,"  For DSM 753, DSM 6589, DSM 7320, DSM 15930, DSM 17592, DSM 19522, DSM 22681, DSM 23576 and DSM 24553"
1823,15886,237258,Cloacibacterium normanense, NUTRIENT AGAR
1824,22131,408753,Clostridiisalibacter paucivorans,  For DSM 22131
1825,1496,84022,Clostridium aceticum, ACETOBACTERIUM medium
1826,10703,76489,Clostridium acetireducens, RCM medium (modified)
1827,6228,1488,Clostridium acetobutylicum, CLOSTRIDIUM ACETOBUTYLICUM medium
1828,12555,91624,Clostridium acidisoli, CLOSTRIDIUM CK medium
1829,17425,339861,Clostridium aciditolerans, PYX-MEDIUM
1830,604,1556,Clostridium acidurici, CLOSTRIDIUM ACIDIURICI medium
1831,5434,36832,Clostridium aerotolerans, CLOSTRIDIUM AEROTOLERANS medium
1832,19521,338193,Clostridium aestuarii, RCM medium (halophilic clostridia)
1833,12554,91623,Clostridium akagii, CLOSTRIDIUM CK medium
1834,19262,358742,Clostridium aldenense, CHOPPED MEAT medium WITH CARBOHYDRATES
1835,6159,29353,Clostridium aldrichii, CM3 medium
1836,15099,37659,Clostridium algidicarnis, CHOPPED MEAT medium WITH CARBOHYDRATES
1837,12273,94868,Clostridium algidixylanolyticum, CHOPPED MEAT medium WITH CARBOHYDRATES
1838,16153,198347,Clostridium algoriphilum, WILKINS-CHALGREN ANAEROBE BROTH (Oxoid CM 643)
1839,17461,320502,Clostridium alkalicellulosi, CLOSTRIDIUM ALKALICELLUM medium
1840,10710,1526,Clostridium aminophilum, RCM medium (modified)
1841,1283,1527,Clostridium aminovalericum, CHOPPED MEAT medium WITH CARBOHYDRATES
1842,12857,253257,Clostridium amygdalinum,"  For DSM 12857, DSM 13479 and DSM 13480"
1843,21864,null,Clostridium amylolyticum, CHOPPED MEAT medium WITH CARBOHYDRATES
1844,23575,1137848,Clostridium arbusti, PYX-MEDIUM
1845,15981,333367,Clostridium asparagiforme, PYX-MEDIUM
1846,793,1551,Clostridium aurantibutyricum, CHOPPED MEAT medium WITH CARBOHYDRATES
1847,10061,84023,Clostridium autoethanogenum, MEDIUM 640 MODIFIED FOR DSM 10061
1848,602,1561,Clostridium baratii,
1849,16795,261299,Clostridium bartlettii, CHOPPED MEAT medium WITH CARBOHYDRATES
1850,6422,1520,Clostridium beijerinckii, GLUCOSE Yeast extract medium
1851,13560,1490,Clostridium bifermentans, PYX-MEDIUM
1852,15670,208479,Clostridium bolteae, PYX-MEDIUM
1853,14206,132925,Clostridium bowmanii,"  For DSM 14204, DSM 14205, DSM 14206, DSM 14207, DSM 14924, DSM 15176, DSM 15243, DSM 15248, DSM 15480, DSM 15481, DSM 15498, DSM 15567, DSM 15692, DSM 17763 and DSM 22608"
1854,6566,1492,Clostridium butyricum, GLUCOSE Yeast extract medium
1855,1284,1529,Clostridium cadaveris, CHOPPED MEAT medium WITH CARBOHYDRATES
1856,19027,659425,Clostridium caenicol, MEDIUM 640 MODIFIED FOR DSM 19027
1857,15212,191027,Clostridium caminithermale, CLOSTRIDIUM CAMINITHERMALIS medium
1858,15243,217159,Clostridium carboxidivorans,"  For DSM 14204, DSM 14205, DSM 14206, DSM 14207, DSM 14924, DSM 15176, DSM 15243, DSM 15248, DSM 15480, DSM 15481, DSM 15498, DSM 15567, DSM 15692, DSM 17763 and DSM 22608"
1859,1293,1530,Clostridium carnis, CHOPPED MEAT medium WITH CARBOHYDRATES
1860,21758,349931,Clostridium cavendishii, PYX-MEDIUM
1861,1785,36834,Clostridium celatum, CHOPPED MEAT medium WITH CARBOHYDRATES
1862,5628,29354,Clostridium celerecrescens, CM3 medium
1863,1351,29355,Clostridium cellobioparum, CLOSTRIDIUM CELLOBIOPARUM medium
1864,5812,1521,Clostridium cellulolyticum, CM3 medium
1865,3052,1493,Clostridium cellulovorans, CM3 medium
1866,5482,29356,Clostridium chartatabidum, CLOSTRIDIUM CHARTATABIDUM medium
1867,7528,46867,Clostridium chauvoei, RCM medium
1868,23318,null,Clostridium chromiireducens, PYX-MEDIUM
1869,19261,358743,Clostridium citroniae, CHOPPED MEAT medium WITH CARBOHYDRATES
1870,19732,288965,Clostridium clariflavum, CM3 medium
1871,933,1531,Clostridium clostridioforme, CHOPPED MEAT medium WITH CARBOHYDRATES
1872,667,1494,Clostridium cochlearium, CHOPPED MEAT medium WITH CARBOHYDRATES
1873,1551,69824,Clostridium cocleatum, CHOPPED MEAT medium WITH CARBOHYDRATES
1874,13634,179628,Clostridium colicanis, PYG-MEDIUM (modified)
1875,6011,36835,Clostridium colinum, MEDIUM 78 MODIFIED FOR DSM 6011
1876,3089,29357,Clostridium collagenovorans, WILKINS-CHALGREN ANAEROBE BROTH (Oxoid CM 643)
1877,605,1495,Clostridium cylindrosporum, CLOSTRIDIUM ACIDIURICI medium
1878,12057,1496,Clostridium difficile, CHOPPED MEAT medium WITH CARBOHYDRATES
1879,15410,223919,Clostridium diolis, PYX-MEDIUM
1880,5521,84024,Clostridium disporicum, CHOPPED MEAT medium WITH CARBOHYDRATES
1881,14770,332101,Clostridium drakei, PYX-MEDIUM
1882,8809,1552,Clostridium estertheticum subsp. estertheticum, CLOSTRIDIUM ESTERTHETICUM medium
1883,14864,205326,Clostridium estertheticum subsp. laramiense, WILKINS-CHALGREN ANAEROBE BROTH (Oxoid CM 643)
1884,2631,1533,Clostridium fallax, CHOPPED MEAT medium
1885,794,36839,Clostridium felsineum, CLOSTRIDIUM ACETOBUTYLICUM medium
1886,9179,99656,Clostridium fimetarium, MEDIUM 500 MODIFIED FOR DSM 9179
1887,100,1497,Clostridium formicaceticum, CLOSTRIDIUM FORMICOACETICUM medium
1888,12271,84698,Clostridium frigidicarnis, CHOPPED MEAT medium WITH CARBOHYDRATES
1889,14204,205327,Clostridium frigoris,"  For DSM 14204, DSM 14205, DSM 14206, DSM 14207, DSM 14924, DSM 15176, DSM 15243, DSM 15248, DSM 15480, DSM 15481, DSM 15498, DSM 15567, DSM 15692, DSM 17763 and DSM 22608"
1890,18771,312089,Clostridium ganghwense, RCM medium (halophilic clostridia)
1891,12272,94869,Clostridium gasigenes, CHOPPED MEAT medium WITH CARBOHYDRATES
1892,15049,29358,Clostridium ghonii, CHOPPED MEAT medium WITH CARBOHYDRATES
1893,13561,36841,Clostridium glycolicum, PYX-MEDIUM
1894,17593,342942,Clostridium glycyrrhizinilyticum, CHOPPED MEAT medium WITH CARBOHYDRATES
1895,8605,40575,Clostridium grantii, CLOSTRIDIUM GRANTII medium
1896,5565,84025,Clostridium haemolyticum, CHOPPED MEAT medium
1897,5387,36842,Clostridium halophilum,  For DSM 5387
1898,13479,154046,Clostridium hathewayi,"  For DSM 12857, DSM 13479 and DSM 13480"
1899,14428,39479,Clostridium herbivorans,  For DSM 14428
1900,13275,89152,Clostridium hiranonis, MEDIUM 104b MODIFIED FOR DSM 13275
1901,627,1498,Clostridium histolyticum, CHOPPED MEAT medium
1902,5847,36844,Clostridium homopropionicum,  For DSM 5847
1903,14427,48256,Clostridium hungatei, MEDIUM 255 MODIFIED FOR DSM 14427
1904,21757,349933,Clostridium hydrogeniformans, PYX-MEDIUM
1905,15053,89153,Clostridium hylemonae, CHOPPED MEAT medium WITH CARBOHYDRATES
1906,755,69825,Clostridium indolis, CHOPPED MEAT medium WITH CARBOHYDRATES
1907,1286,1522,Clostridium innocuum, CHOPPED MEAT medium
1908,6191,36845,Clostridium intestinale, WILKINS-CHALGREN ANAEROBE BROTH (Oxoid CM 643)
1909,2635,29359,Clostridium irregulare, CHOPPED MEAT medium
1910,15098,182773,Clostridium isatidis, CHOPPED MEAT medium WITH CARBOHYDRATES
1911,15929,259063,Clostridium jejuense, WILKINS-CHALGREN ANAEROBE BROTH (Oxoid CM 643)
1912,25723,1499,Clostridium josui, CLOSTRIDIUM THERMOCELLUM medium
1913,564,1534,Clostridium kluyveri, CLOSTRIDIUM KLUYVERI medium (modified)
1914,14214,160404,Clostridium lactatifermentans, PYX-MEDIUM
1915,14205,205328,Clostridium lacusfryxellense,"  For DSM 14204, DSM 14205, DSM 14206, DSM 14207, DSM 14924, DSM 15176, DSM 15243, DSM 15248, DSM 15480, DSM 15481, DSM 15498, DSM 15567, DSM 15692, DSM 17763 and DSM 22608"
1916,19851,460384,Clostridium lavalense,  For DSM 19851
1917,753,1535,Clostridium leptum,  For DSM 753
1918,1400,1536,Clostridium limosum, CHOPPED MEAT medium WITH CARBOHYDRATES
1919,5388,1557,Clostridium litorale,  For DSM 5388
1920,797,1537,Clostridium lituseburense, CHOPPED MEAT medium WITH CARBOHYDRATES
1921,13528,1538,Clostridium ljungdahlii, CLOSTRIDIUM LJUNGDAHLII medium
1922,17049,319475,Clostridium lundense, CHOPPED MEAT medium WITH CARBOHYDRATES
1923,2767,33954,Clostridium magnum, MEDIUM 311 MODIFIED FOR DSM 2767
1924,1127,1539,Clostridium malenominatum, CHOPPED MEAT medium WITH CARBOHYDRATES
1925,1289,1540,Clostridium mangenotii, CHOPPED MEAT medium WITH CARBOHYDRATES
1926,6539,1541,Clostridium mayombei, ACETONEMA medium
1927,12182,81424,Clostridium methoxybenzovorans, EUBACTERIUM AGGREGANS medium
1928,5476,84026,Clostridium methylpentosum, CLOSTRIDIUM METHYLPENTOSUM MEDIUM
1929,3847,36847,Clostridium neopropionicum, CLOSTRIDIUM NEOPROPIONICUM medium
1930,1787,29361,Clostridium nexile, CHOPPED MEAT medium WITH CARBOHYDRATES
1931,21057,382954,Clostridium nitrophenolicum, PYX-MEDIUM
1932,5566,1542,Clostridium novyi,  For DSM 5566
1933,1290,1543,Clostridium oceanicum, CHOPPED MEAT medium WITH CARBOHYDRATES
1934,1287,1544,Clostridium oroticum, OROTIC ACID medium
1935,2782,29362,Clostridium papyrosolvens, CLOSTRIDIUM PAPYROSOLVENS medium
1936,7308,29346,Clostridium paradoxum, YTG medium
1937,661,29363,Clostridium paraputrificum, CHOPPED MEAT medium WITH CARBOHYDRATES
1938,10366,46609,Clostridium pascui, CHOPPED MEAT medium
1939,9989,1501,Clostridium pasteurianum, GLUCOSE Yeast extract medium
1940,12505,100174,Clostridium peptidivorans,  For DSM 12505
1941,25589,1502,Clostridium perfringens, PYX-MEDIUM
1942,18823,66219,Clostridium phytofermentans, CM3 medium
1943,1801,29364,Clostridium polysaccharolyticum, CLOSTRIDIUM CELLOBIOPARUM medium
1944,5832,37658,Clostridium populeti, CM3 medium
1945,6251,28446,Clostridium propionicum, MEDIUM 156 MODIFIED FOR DSM 6251
1946,3090,29365,Clostridium proteolyticum, WILKINS-CHALGREN ANAEROBE BROTH (Oxoid CM 643)
1947,14207,132926,Clostridium psychrophilum,"  For DSM 14204, DSM 14205, DSM 14206, DSM 14207, DSM 14924, DSM 15176, DSM 15243, DSM 15248, DSM 15480, DSM 15481, DSM 15498, DSM 15567, DSM 15692, DSM 17763 and DSM 22608"
1948,2619,29367,Clostridium puniceum, CHOPPED MEAT medium WITH CARBOHYDRATES
1949,1384,1503,Clostridium purinilyticum, CLOSTRIDIUM ACIDIURICI medium
1950,1291,99675,Clostridium putrefaciens, CHOPPED MEAT medium WITH CARBOHYDRATES
1951,6736,36850,Clostridium quinii,  Substrate for DSM 6736
1952,15248,217158,Clostridium ragsdalei,"  For DSM 14204, DSM 14205, DSM 14206, DSM 14207, DSM 14924, DSM 15176, DSM 15243, DSM 15248, DSM 15480, DSM 15481, DSM 15498, DSM 15567, DSM 15692, DSM 17763 and DSM 22608"
1953,1402,1547,Clostridium ramosum, CHOPPED MEAT medium WITH CARBOHYDRATES
1954,1295,36851,Clostridium rectum, CHOPPED MEAT medium WITH CARBOHYDRATES
1955,6424,84029,Clostridium roseum, CLOSTRIDIUM ACETOBUTYLICUM medium
1956,13864,169679,Clostridium saccharobutylicum, PYX-MEDIUM
1957,17460,341225,Clostridium saccharogumi, PYX-MEDIUM
1958,2544,84030,Clostridium saccharolyticum, CHOPPED MEAT medium WITH CARBOHYDRATES
1959,14923,36745,Clostridium saccharoperbutylacetonicum, CHOPPED MEAT medium WITH CARBOHYDRATES
1960,2632,29369,Clostridium sardiniense, CHOPPED MEAT medium
1961,1292,84031,Clostridium sartagoforme, CHOPPED MEAT medium WITH CARBOHYDRATES
1962,757,1548,Clostridium scatologenes, CHOPPED MEAT medium WITH CARBOHYDRATES
